division,date,home_team,away_team,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,odds_home,odds_draw,odds_away
1,2017-10-29,Udinese,Atalanta,2,1,1,1,1,2,3.83,3.59,02.08
1,2017-10-30,Verona,Inter,1,2,3,0,1,3,8.86,5.25,1.4
1,2017-11-04,Bologna,Crotone,2,3,3,2,1,1,1.79,3.5,5.7
1,2017-11-04,Genoa,Sampdoria,0,2,3,0,1,3,2.96,3.25,2.67
1,2017-11-05,Atalanta,Spal,1,1,2,1,0,1,1.34,5.63,10.67
1,2017-11-05,Cagliari,Verona,2,1,1,1,1,2,1.9,3.67,4.53
1,2017-11-05,Chievo,Napoli,0,0,2,0,0,2,8.34,05.01,1.43
1,2017-11-05,Fiorentina,Roma,2,4,3,2,2,2,3.15,3.65,2.33
1,2017-11-05,Inter,Torino,1,1,2,0,0,2,1.51,4.74,6.75
1,2017-11-05,Juventus,Benevento,2,1,1,0,1,3,01.06,19,41
1,2017-11-05,Sassuolo,Milan,0,2,3,0,1,3,3.64,3.56,2.15
1,2017-11-18,Napoli,Milan,2,1,1,1,0,1,1.48,4.87,7.11
1,2017-11-18,Roma,Lazio,2,1,1,0,0,2,2.27,3.56,3.36
1,2017-11-19,Benevento,Sassuolo,1,2,3,0,0,2,3.63,3.53,2.17
1,2017-11-19,Crotone,Genoa,0,1,3,0,1,3,3.13,3.27,2.53
1,2017-11-19,Inter,Atalanta,2,0,1,0,0,2,1.75,3.95,5.14
1,2017-11-19,Sampdoria,Juventus,3,2,1,0,0,2,5.96,4.27,1.62
1,2017-11-19,Spal,Fiorentina,1,1,2,1,0,1,4.23,3.64,1.96
1,2017-11-19,Torino,Chievo,1,1,2,1,1,2,1.83,3.84,4.66
1,2017-11-19,Udinese,Cagliari,0,1,3,0,0,2,02.01,3.57,4.12
1,2017-11-20,Verona,Bologna,2,3,3,2,1,1,03.09,3.25,2.57
1,2017-11-25,Bologna,Sampdoria,3,0,1,2,0,1,2.62,3.43,2.84
1,2017-11-25,Cagliari,Inter,1,3,3,0,1,3,5.46,4.16,1.68
1,2017-11-25,Chievo,Spal,2,1,1,0,1,3,1.92,3.57,4.59
1,2017-11-25,Sassuolo,Verona,0,2,3,0,2,3,1.68,4.15,5.43
1,2017-11-26,Genoa,Roma,1,1,2,0,0,2,05.07,04.01,1.74
1,2017-11-26,Juventus,Crotone,3,0,1,0,0,2,1.16,8.85,22
1,2017-11-26,Lazio,Fiorentina,1,1,2,1,0,1,1.66,4.41,5.21
1,2017-11-26,Milan,Torino,0,0,2,0,0,2,1.75,4.14,4.86
1,2017-11-26,Udinese,Napoli,0,1,3,0,1,3,09.08,5.51,1.37
1,2017-11-27,Atalanta,Benevento,1,0,1,0,0,2,1.23,6.76,16.24
1,2017-12-01,Napoli,Juventus,0,1,3,0,1,3,2.15,3.39,3.83
1,2017-12-01,Roma,Spal,3,1,1,2,0,1,1.25,07.04,13.17
1,2017-12-02,Torino,Atalanta,1,1,2,1,0,1,2.48,3.51,03.02
1,2017-12-03,Benevento,Milan,2,2,2,0,1,3,9.18,5.3,1.38
1,2017-12-03,Bologna,Cagliari,1,1,2,0,1,3,02.06,3.47,04.07
1,2017-12-03,Fiorentina,Sassuolo,3,0,1,2,0,1,1.58,4.41,6.15
1,2017-12-03,Inter,Chievo,5,0,1,2,0,1,1.41,5.17,8.65
1,2017-12-03,Sampdoria,Lazio,1,2,3,0,0,2,3.67,3.71,02.09
1,2017-12-04,Crotone,Udinese,0,3,3,0,1,3,2.98,03.06,2.8
1,2017-12-04,Verona,Genoa,0,1,3,0,1,3,3.61,3.34,2.25
1,2017-12-09,Cagliari,Sampdoria,2,2,2,0,2,3,2.62,3.56,2.8
1,2017-12-09,Juventus,Inter,0,0,2,0,0,2,1.71,3.94,5.49
1,2017-12-10,Chievo,Roma,0,0,2,0,0,2,5.85,4.18,1.64
1,2017-12-10,Milan,Bologna,2,1,1,1,1,2,1.54,4.23,7.54
1,2017-12-10,Napoli,Fiorentina,0,0,2,0,0,2,1.35,5.79,9.33
1,2017-12-10,Sassuolo,Crotone,2,1,1,0,0,2,1.79,3.7,5.19
1,2017-12-10,Spal,Verona,2,2,2,0,0,2,02.08,3.46,3.99
1,2017-12-10,Udinese,Benevento,2,0,1,2,0,1,1.5,4.74,7.13
1,2017-12-11,Lazio,Torino,1,3,3,0,0,2,1.5,4.77,6.91
1,2017-12-12,Genoa,Atalanta,1,2,3,1,1,2,3.19,3.36,2.45
1,2017-12-16,Inter,Udinese,1,3,3,1,1,2,1.33,5.73,10.55
1,2017-12-16,Roma,Cagliari,1,0,1,0,0,2,1.26,6.7,12.5
1,2017-12-16,Torino,Napoli,1,3,3,0,3,3,5.42,4.17,1.68
1,2017-12-17,Atalanta,Lazio,3,3,2,2,2,2,2.41,3.51,3.13
1,2017-12-17,Benevento,Spal,1,2,3,0,0,2,2.84,3.38,2.69
1,2017-12-17,Bologna,Juventus,0,3,3,0,2,3,08.07,4.7,1.46
1,2017-12-17,Crotone,Chievo,1,0,1,1,0,1,3.25,3.39,2.4
1,2017-12-17,Fiorentina,Genoa,0,0,2,0,0,2,1.65,4.11,5.84
1,2017-12-17,Sampdoria,Sassuolo,0,1,3,0,0,2,1.79,04.03,4.66
1,2017-12-17,Verona,Milan,3,0,1,1,0,1,06.04,4.44,1.59
1,2017-12-22,Cagliari,Fiorentina,0,1,3,0,0,2,3.44,3.34,2.33
1,2017-12-22,Chievo,Bologna,2,3,3,1,1,2,2.69,3.15,03.02
1,2017-12-23,Genoa,Benevento,1,0,1,0,0,2,1.42,4.73,9.38
1,2017-12-23,Juventus,Roma,1,0,1,1,0,1,1.83,3.69,4.97
1,2017-12-23,Lazio,Crotone,4,0,1,0,0,2,1.24,6.86,14.87
1,2017-12-23,Milan,Atalanta,0,2,3,0,1,3,2.47,3.41,3.11
1,2017-12-23,Napoli,Sampdoria,3,2,1,3,2,1,1.28,6.4,12.13
1,2017-12-23,Sassuolo,Inter,1,0,1,1,0,1,4.86,3.92,1.79
1,2017-12-23,Spal,Torino,2,2,2,1,2,3,3.59,3.51,2.19
1,2017-12-23,Udinese,Verona,4,0,1,2,0,1,1.69,4.13,5.38
1,2017-12-29,Crotone,Napoli,0,1,3,0,1,3,15.9,6.51,1.23
1,2017-12-30,Atalanta,Cagliari,1,2,3,0,2,3,1.45,4.61,8.1
1,2017-12-30,Benevento,Chievo,1,0,1,0,0,2,3.32,3.44,2.28
1,2017-12-30,Bologna,Udinese,1,2,3,1,1,2,2.43,3.17,3.35
1,2017-12-30,Fiorentina,Milan,1,1,2,0,0,2,02.02,3.6,3.88
1,2017-12-30,Inter,Lazio,0,0,2,0,0,2,2.31,3.58,3.15
1,2017-12-30,Roma,Sassuolo,1,1,2,1,0,1,1.3,5.76,11.16
1,2017-12-30,Sampdoria,Spal,2,0,1,0,0,2,1.7,04.02,5.17
1,2017-12-30,Torino,Genoa,0,0,2,0,0,2,02.09,3.48,3.77
1,2017-12-30,Verona,Juventus,1,3,3,0,1,3,16.51,6.43,1.23
1,2018-01-05,Chievo,Udinese,1,1,2,1,1,2,3.12,3.28,2.54
1,2018-01-05,Fiorentina,Inter,1,1,2,0,0,2,2.59,3.38,2.95
1,2018-01-06,Benevento,Sampdoria,3,2,1,0,1,3,3.69,3.57,2.13
1,2018-01-06,Cagliari,Juventus,0,1,3,0,0,2,12.11,5.3,1.34
1,2018-01-06,Genoa,Sassuolo,1,0,1,0,0,2,2.22,3.36,3.69
1,2018-01-06,Milan,Crotone,1,0,1,0,0,2,1.33,5.62,10.85
1,2018-01-06,Napoli,Verona,2,0,1,0,0,2,1.12,11.38,25.32
1,2018-01-06,Roma,Atalanta,1,2,3,0,2,3,1.72,3.97,5.36
